IQ,CGPA
94,2.51
89,2.5
95,2.67
102,2.73
88,2.1
88,2.19
103,2.63
96,2.56
86,2.46
94,3.21
86,2.47
86,2.59
92,2.61
75,2.38
76,2.2
86,2.51
82,2.17
93,2.38
83,2.23
79,2.31
102,2.98
88,2.01
91,2.55
79,1.97
86,2.27
91,2.63
81,2.32
93,2.21
85,2.21
88,2.52
85,2.2
105,2.59
90,2.41
82,2.19
97,2.9
80,2.43
92,2.01
74,2.28
79,2.16
92,2.59
96,2.3
91,2.39
89,2.49
88,2.55
78,2.04
84,2.27
86,2.27
98,2.35
93,2.78
76,2.34
93,2.18
87,2.55
85,2.77
95,2.66
98,2.18
97,2.37
83,2.58
88,2.24
93,2.52
98,2.63
86,2.17
89,2.38
81,1.66
80,2.1
97,2.42
101,2.26
89,2.72
98,2.19
93,2.34
85,2.38
118,2.97
126,2.47
115,2.88
126,2.76
97,2.27
121,2.8
116,2.7
113,2.51
116,2.67
101,2.43
113,2.65
117,2.8
125,3.07
111,2.36
109,3.02
111,2.22
121,2.68
117,2.79
111,2.67
119,2.57
116,2.62
122,2.62
110,2.48
113,2.8
112,2.69
105,2.41
117,2.85
117,2.73
115,2.81
113,2.76
105,2.38
112,2.51
113,2.78
109,2.71
114,2.64
118,2.7
128,3.04
116,2.54
117,2.78
114,2.6
102,2.48
115,2.87
115,2.82
132,2.98
114,2.9
117,2.67
115,2.79
107,2.51
123,2.79
120,2.67
121,2.73
109,2.71
125,2.59
105,2.97
119,2.49
130,2.56
108,2.81
111,2.77
116,2.78
111,2.74
104,2.54
115,2.47
108,2.6
118,2.54
109,2.79
126,2.73
110,2.43
113,2.57
121,2.79
106,2.45
141,2.75
148,3.03
130,2.85
141,2.81
142,2.83
145,3.0
133,2.54
132,2.54
143,2.79
142,2.88
142,2.98
142,3.22
136,3.03
141,2.88
142,2.92
136,2.66
151,3.01
143,2.87
133,2.89
144,2.77
134,2.94
145,3.26
147,2.95
135,2.93
146,3.1
142,2.84
145,2.99
151,3.01
139,2.91
135,2.7
135,2.85
135,2.95
140,3.19
142,3.11
142,3.35
145,2.8
140,3.07
149,3.03
138,3.32
156,2.9
144,2.77
135,2.73
134,2.42
143,2.82
139,2.74
144,2.97
143,3.0
140,3.28
135,3.04
131,2.69
137,2.69
145,3.05
141,2.65
133,3.2
141,3.15
142,2.83
135,2.51
141,3.18
140,2.88
133,3.08
