Feature_1,Feature_2,Feature_3,Target
10,12,30,0
11,13,29,0
12,14,28,0
13,15,31,0
14,16,35,0
15,17,34,0
16,18,33,0
17,19,36,0
18,20,40,0
19,21,39,0
20,22,38,1
21,23,41,1
22,24,45,1
23,25,44,1
24,26,43,1
25,27,46,1
26,28,50,1
27,29,49,1
28,30,48,1
29,31,51,1
30,32,55,2
31,33,54,2
32,34,53,2
33,35,56,2
34,36,60,2
35,37,59,2
36,38,58,2
37,39,61,2
38,40,65,2
39,41,64,2
40,42,63,3
41,43,66,3
42,44,70,3
43,45,69,3
44,46,68,3
45,47,71,3
46,48,75,3
47,49,74,3
48,50,73,3
49,51,76,3
50,52,80,4
51,53,79,4
52,54,78,4
53,55,81,4
54,56,85,4
55,57,84,4
56,58,83,4
57,59,86,4
58,60,90,4
59,61,89,4
