CGPA,IQ,Placement
6.8,116,0
9.56,123,1
8.51,133,1
7.87,136,1
5.75,116,0
5.75,88,0
5.28,114,0
9.16,121,1
7.89,107,0
8.4,123,1
5.1,129,0
9.66,99,0
9.0,127,1
6.02,113,0
5.87,120,0
5.88,97,0
6.46,116,0
7.52,91,0
7.07,143,0
6.4,135,0
7.94,106,0
5.67,112,0
6.4,86,0
6.76,126,0
7.19,129,0
8.77,141,1
5.96,137,0
7.47,90,0
7.84,112,1
5.22,112,0
7.92,128,1
5.82,128,0
5.31,104,0
9.55,114,1
9.64,95,0
8.88,142,1
6.46,139,0
5.47,112,0
8.28,109,0
7.11,123,0
5.59,117,0
7.38,85,0
5.17,141,0
9.36,111,1
6.24,141,0
8.18,136,1
6.5,97,0
7.5,125,1
7.62,87,0
5.89,123,0
9.65,90,0
8.72,92,0
9.51,111,1
9.3,93,0
7.87,121,1
9.42,117,1
5.42,135,0
5.94,126,0
5.22,128,0
6.56,108,0
6.87,99,0
6.3,143,0
8.98,138,1
6.71,116,0
6.35,116,0
7.6,108,0
5.68,125,0
8.85,136,1
5.36,133,0
9.74,133,1
8.71,142,1
5.95,136,0
5.03,96,0
8.91,123,1
8.39,86,0
8.5,87,0
8.7,133,1
5.36,121,0
6.72,133,0
5.56,140,0
9.14,101,0
7.99,143,1
6.59,133,0
5.31,86,0
6.49,86,0
6.56,112,0
8.5,138,1
8.06,107,0
9.26,121,1
7.27,116,0
5.57,117,0
8.42,85,0
8.65,103,0
7.69,86,0
8.7,137,1
7.37,128,0
7.51,110,1
7.05,116,0
5.12,90,0
5.52,116,0
