CGPA,Package_PKR
2.10,320000
2.12,325000
2.14,330000
2.15,335000
2.16,340000
2.18,345000
2.20,350000
2.22,355000
2.24,360000
2.25,365000
2.26,370000
2.28,375000
2.30,380000
2.32,385000
2.34,390000
2.35,395000
2.36,400000
2.38,405000
2.40,410000
2.42,415000
2.44,420000
2.45,425000
2.46,430000
2.48,435000
2.50,440000
2.52,445000
2.54,450000
2.55,455000
2.56,460000
2.58,465000
2.60,470000
2.62,475000
2.64,480000
2.65,485000
2.66,490000
2.68,495000
2.70,500000
2.72,505000
2.74,510000
2.75,515000
2.76,520000
2.78,525000
2.80,530000
2.82,535000
2.84,540000
2.85,545000
2.86,550000
2.88,555000
2.90,560000
2.92,565000
2.94,570000
2.95,575000
2.96,580000
2.98,585000
3.00,590000
3.02,600000
3.04,610000
3.05,620000
3.06,630000
3.08,640000
3.10,650000
3.12,660000
3.14,670000
3.15,680000
3.16,690000
3.18,700000
3.20,710000
3.22,720000
3.24,730000
3.25,740000
3.26,750000
3.28,760000
3.30,770000
3.32,780000
3.34,790000
3.35,800000
3.36,820000
3.38,840000
3.40,860000
3.42,880000
3.44,900000
3.45,920000
3.46,940000
3.48,960000
3.50,980000
3.52,1000000
3.54,1020000
3.55,1040000
3.56,1060000
3.58,1080000
3.60,1100000
3.62,1120000
3.64,1140000
3.65,1160000
3.66,1180000
3.68,1200000
3.70,1220000
3.72,1240000
3.74,1260000
3.75,1280000
3.76,1300000
3.78,1320000
3.80,1340000
3.82,1360000
3.84,1380000
3.85,1400000
3.86,1420000
3.88,1440000
3.90,1460000
3.92,1480000
3.94,1500000
3.95,1520000
3.96,1540000
3.98,1560000
4.00,1600000
